id,correctAnswer
110004,A
110005,C
110006,D
110007,A
110000,C
110001,D
110002,B
110003,C
110008,C
110009,B
110558,C
110559,C
110555,C
110552,A
110553,A
103897,B
103896,B
103895,B
103894,A
103893,A
103892,A
103891,A
103890,B
110551,C
103899,B
103898,A
103549,B
103548,C
103541,A
103540,B
103543,C
103542,D
103545,C
103544,B
103547,D
103546,A
109799,D
105002,A
105003,B
105000,B
105001,A
105006,B
105007,D
105004,B
105005,B
105008,B
105009,C
104715,B
104714,C
104717,A
104716,C
104711,C
104710,B
104713,D
104712,C
107534,C
107535,D
107536,D
107537,A
104719,D
104718,A
107532,B
107533,B
106472,D
103113,B
106470,C
103111,D
103116,B
106477,A
106474,D
103115,B
103118,C
106479,D
108711,D
108710,C
108713,D
108712,C
108715,A
108714,B
108717,A
108716,B
108719,D
108718,A
104849,B
104848,D
104845,C
104844,A
104847,C
104846,A
104841,B
104840,C
104843,D
104842,D
106629,A
106628,A
106627,B
106626,B
106625,B
106624,C
106623,D
106622,D
106621,B
106620,B
102719,D
102718,B
102717,A
102716,D
102715,C
102714,C
102713,C
102712,C
102711,D
102710,D
108829,C
108828,A
108827,D
108826,A
108825,D
108824,D
108823,D
108822,B
108821,C
108820,C
106722,B
106723,B
106720,D
106721,B
106726,B
106727,B
106724,A
106725,B
106728,C
106729,C
109990,D
109991,B
109992,D
109993,D
103398,D
103399,D
109448,A
109449,B
103394,A
103395,D
103396,A
103397,A
103390,A
103391,D
103392,A
103393,A
105824,D
105825,C
105826,C
105827,A
105820,D
105821,A
105822,D
105823,C
109190,D
109191,A
109192,C
109193,A
105828,B
105829,C
109196,C
109197,B
107093,B
107092,D
107091,C
107090,D
107097,C
107096,D
107095,A
107094,D
107099,B
107098,B
110632,A
110631,B
110630,B
103970,B
103971,C
103972,B
103973,A
103974,D
103975,A
103976,D
103977,D
103978,C
103979,D
108956,A
110497,B
110496,B
107899,C
107898,C
110493,D
110492,D
110491,C
110490,A
107893,B
107892,A
107891,D
107890,D
107897,B
107896,B
107895,A
107894,C
108984,A
108985,A
108954,C
108986,B
108987,A
108980,D
108981,B
108982,C
108983,B
104278,B
104279,D
104276,B
104277,C
104274,D
104275,C
104272,C
104273,A
104270,D
104271,B
104018,C
104019,A
104012,C
104013,C
104010,C
104011,B
104016,C
104017,C
104014,B
104015,D
105639,B
105638,B
105631,C
105630,D
105633,D
105632,C
105635,B
105634,C
105637,B
105636,D
102942,C
102943,C
102940,A
102941,C
102946,D
102947,B
102944,C
102945,C
102948,A
102949,A
109797,A
109794,C
109795,C
109798,D
106875,A
107703,C
107702,C
107701,B
107700,B
107707,C
107706,C
107705,B
107704,A
107709,D
107708,A
102675,C
108104,D
108105,C
108106,A
108107,A
108100,B
108101,D
108102,A
108103,B
108108,C
108109,D
108458,B
108459,D
109851,A
109850,D
109853,C
109852,D
109855,C
109854,D
109857,A
109856,C
109859,D
109858,C
103707,D
103706,B
103705,C
103704,B
103703,C
103702,D
103701,D
103700,C
103709,D
103708,C
110434,C
110571,A
110572,C
110573,D
110574,B
110575,C
110576,A
110577,D
110578,B
110579,D
107538,B
110437,D
107539,B
103563,C
103562,C
103561,B
103560,D
103567,D
103566,B
103565,D
103564,B
103569,B
103568,A
109279,D
109278,D
107530,B
107531,A
103332,A
103333,C
103330,D
103331,B
103624,B
103625,C
107286,C
107287,D
107284,A
107285,A
107282,A
103334,D
107280,C
107281,D
103627,A
107288,C
107289,D
104485,D
104484,D
104487,C
104486,A
104481,A
104480,A
104483,D
104482,B
104489,C
104488,C
110436,A
110433,A
110431,C
110430,A
105028,D
105029,B
105024,C
105025,B
105026,A
105027,B
105020,D
105021,C
105022,B
105023,C
110432,A
110349,D
110348,B
104739,D
104738,C
104737,D
104736,C
104735,B
104734,D
104733,B
104732,C
104731,D
104730,C
105288,A
105289,A
105280,A
105281,B
105282,B
105283,D
105284,C
105285,C
105286,C
105287,D
106399,D
106398,B
106397,D
106396,C
106395,A
106394,C
106393,D
106392,D
106391,A
106390,A
102559,A
102558,D
102889,D
102888,B
102555,A
102554,D
102557,A
102884,B
102551,D
102550,C
102553,A
102552,D
104867,A
104866,D
104865,C
104864,B
104863,C
104862,A
104861,A
104860,A
108733,C
108732,D
108731,A
108730,B
108737,C
108736,A
104869,D
104868,C
106649,D
103071,C
103070,D
106641,A
106640,D
106643,D
106642,B
106645,B
106644,D
106647,C
106646,C
102779,D
102778,A
103072,A
102771,B
102770,A
102773,C
102772,B
102775,C
102774,B
102777,D
102776,B
108849,B
108848,A
103077,C
108841,A
108840,C
108843,B
103076,B
108845,C
108844,D
108847,C
108846,A
103079,A
106708,C
106709,C
103078,C
106704,A
106705,A
106706,C
106707,B
106700,A
106701,B
106702,C
106703,B
109468,C
109469,C
109460,D
109461,B
109462,D
109463,B
109464,A
109465,B
109466,C
109467,B
107116,B
107117,B
107114,B
107115,C
107112,C
107113,A
107110,D
107111,A
107118,A
107119,A
108597,B
108596,A
108595,D
108594,B
108593,C
108592,C
108591,A
108590,C
108599,C
108598,D
109644,C
109645,B
109646,C
109647,A
109640,B
109641,C
109642,D
109643,D
109648,A
109649,B
110534,D
107079,C
107078,B
107075,D
107074,A
107077,D
107076,D
107071,A
107070,D
